timestamp,cpu_percent,mem_percent,disk_percent,temp_celsius
2026-08-13 20:58:30,2.98224,38.6217,46.0588,74
2026-08-13 20:58:40,3.25749,37.9354,46.0588,66
2026-08-13 20:58:50,5.69071,38.0922,46.0588,65
2026-08-13 20:59:00,2.80131,37.8853,46.0588,63
2026-08-13 20:59:10,2.56603,37.5505,46.0589,61
2026-08-13 20:59:20,2.20699,37.5967,46.0589,60
2026-08-13 21:13:40,0,100,56.4633,83
2026-08-13 21:38:18,0,100,58.0154,67
2026-08-13 21:38:23,7.86041,100,58.0154,66
2026-08-13 21:38:28,6.20794,100,58.0154,65
2026-08-13 21:38:33,6.99231,100,58.0154,64
2026-08-13 21:38:38,8.01667,100,58.0154,64
2026-08-13 21:38:43,7.63667,100,58.0154,64
2026-08-13 21:38:48,7.66794,100,58.0154,64
2026-08-13 21:38:53,8.30676,100,58.0154,67
2026-08-13 21:38:58,9.4909,100,58.0154,67
2026-08-13 21:39:03,10.2573,100,58.0154,66
2026-08-13 21:39:08,8.14245,100,58.0154,65
2026-08-13 21:39:13,10.2771,100,58.0155,65
2026-08-13 21:39:18,12.9663,100,58.0155,66
2026-08-13 21:39:23,12.2824,100,58.0155,66
2026-08-13 21:39:28,8.3473,100,58.0155,67
2026-08-13 21:39:33,7.96371,100,58.0155,66
2026-08-13 21:39:38,11.5565,100,58.0155,69
2026-08-13 22:31:16,0,100,75.4207,69
2026-08-13 22:31:22,9.11322,100,75.4207,69
2026-08-13 22:31:26,5.81922,100,75.4207,68
2026-08-13 22:31:31,5.14632,100,75.4207,68
2026-08-13 22:31:36,7.2495,100,75.4207,67
2026-08-13 22:31:41,6.66778,100,75.4208,67
2026-08-13 22:31:46,5.80864,100,75.4208,66
2026-08-13 22:41:23,8.23183,100,75.4237,71
2026-08-13 22:41:28,4.98084,100,75.4237,72
2026-08-13 22:41:33,4.95963,100,75.4237,69
2026-08-13 22:41:38,3.72358,100,75.4237,67
2026-08-13 22:58:20,0,46.2351,79.3264,64
2026-08-13 22:58:25,2.51541,46.2069,79.3263,62
2026-08-13 22:58:30,2.43125,46.1257,79.3263,61
2026-08-13 22:58:35,0.650325,46.1135,79.3263,61
2026-08-13 22:58:48,4.33098,47.0947,79.3272,60
2026-08-13 22:58:53,4.9933,47.0112,79.3272,62
2026-08-13 22:58:58,4.26604,47.0581,79.3272,63
2026-08-13 22:59:03,3.63058,47.0811,79.3272,61
2026-08-13 22:59:08,3.65649,46.6902,79.3272,61
2026-08-13 22:59:13,0.650325,46.5589,79.3268,59
2026-08-13 22:59:18,1.05,46.5513,79.3268,56
2026-08-13 22:59:23,1.84657,46.526,79.3268,55
2026-08-13 22:59:28,3.09209,46.5361,79.3268,58
2026-08-13 22:59:33,3.57023,46.5853,79.3268,60
2026-08-13 22:59:38,6.02491,47.0881,79.3269,61
2026-08-13 22:59:43,3.4258,47.0462,79.3268,59
2026-08-13 22:59:48,3.4148,46.9886,79.3268,59
2026-08-13 22:59:53,4.49007,46.9911,79.3268,60
2026-08-13 22:59:58,4.64381,47.0072,79.3269,60
2026-08-13 23:00:03,3.25831,47.0116,79.3269,60
2026-08-13 23:00:08,5.00999,47.0322,79.3269,60
2026-08-13 23:00:13,3.39522,47.0175,79.3269,59
2026-08-13 23:00:18,3.30882,46.9394,79.3269,59
2026-08-13 23:00:23,3.46444,46.9583,79.3269,59
2026-08-13 23:00:28,4.37031,47.3323,79.3269,60
2026-08-13 23:00:33,4.88415,47.3581,79.3269,62
2026-08-13 23:00:38,2.75353,47.3992,79.327,60
2026-08-13 23:00:43,4.71682,47.4819,79.3269,63
2026-08-13 23:01:02,3.89652,48.3689,79.33,60
2026-08-13 23:01:07,3.85262,48.2571,79.33,62
2026-08-13 23:01:12,4.80801,47.8667,79.3299,63
2026-08-13 23:01:17,3.2285,47.8442,79.33,62
2026-08-13 23:01:22,3.31159,47.7166,79.3299,60
2026-08-13 23:01:27,2.80561,47.6874,79.3299,59
2026-08-13 23:01:32,3.25597,47.2904,79.3299,58
2026-08-13 23:01:37,3.10466,47.2609,79.3299,60
2026-08-13 23:01:42,4.98912,47.0072,79.3299,61
2026-08-13 23:01:48,3.53833,47.4779,79.3299,60
2026-08-13 23:01:53,2.25489,47.5177,79.3299,58
2026-08-13 23:01:58,1.63962,47.5483,79.3233,57
2026-08-13 23:02:02,2.44203,47.1004,79.3233,55
2026-08-13 23:08:37,0,45.4089,79.3213,51
2026-08-13 23:08:42,3.24173,45.3677,79.3213,50
2026-08-13 23:08:47,3.25722,45.2086,79.3213,49
2026-08-13 23:08:52,9.59203,45.6368,79.3213,53
2026-08-13 23:08:57,6.72981,45.5661,79.3213,51
2026-08-13 23:09:02,5.69228,45.4931,79.3213,51
2026-08-13 23:09:07,5.85169,45.4096,79.3213,51
2026-08-13 23:09:12,7.40679,45.4166,79.3213,51
2026-08-13 23:09:17,5.08902,45.3781,79.3212,51
2026-08-13 23:09:22,6.99748,45.0968,79.3212,51
